arrival rate,mean delay,seed,,,,,1,20,1
1931,7.4,8834,57654,1000000,0.057654,,,,
1931,8,348734,72363,1000000,0.072363,,,,
1931,7.1,98,44194,1000000,0.044194,,,,
1980,26.7,400137271,462664,1000000,0.462664,,,,
1980,27.66,4728394,475126,1000000,0.475126,,,,
1980,20.4,12950156,421634,1000000,0.421634,,,,
1980,26.63,1255,514417,1000000,0.514417,,,,
1980,28.63,1627,516744,1000000,0.516744,,,,
1980,20.34,136127,407141,1000000,0.407141,,,,
1980,25.51,3845648,446596,1000000,0.446596,,,,
1980,23.33,8834,416693,1000000,0.416693,,,,
1980,23.04,348734,443761,1000000,0.443761,,,,
1980,19.89,98,360750,1000000,0.36075,,,,
