random seed,call arrival count,blocked call count,Blocking probability,Service fraction,Offered Load,trunks,theoretical_erlang_B,,,,,,,trunks,Blocking probability,Offered Load
400137271,11427,9427,0.8249759342,0.17502,10.0000000000,2,0.8196721311,,,,,,,2,0.8249759342,10.0000000000
400137271,7626,5624,0.7374770522,0.26252,10.0000000000,3,0.7320644217,,,,,,,3,0.7374770522,10.0000000000
400137271,5811,3808,0.6553088969,0.34469,10.0000000000,4,0.6466632178,,,,,,,4,0.6553088969,10.0000000000
400137271,4726,2722,0.5759627592,0.42404,10.0000000000,5,0.5639521769,,,,,,,5,0.5759627592,10.0000000000
400137271,3887,1882,0.4841780293,0.51582,10.0000000000,6,0.4845149037,,,,,,,6,0.4841780293,10.0000000000
400137271,3296,1290,0.3913834951,0.60862,10.0000000000,7,0.4090407830,,,,,,,7,0.3913834951,10.0000000000
400137271,3075,1068,0.3473170732,0.65268,10.0000000000,8,0.3383184329,,,,,,,8,0.3473170732,10.0000000000
400137271,2776,770,0.2773775216,0.72262,10.0000000000,9,0.2732079439,,,,,,,9,0.2773775216,10.0000000000
400137271,2576,570,0.2212732919,0.77873,10.0000000000,10,0.2145823431,,,,,,,10,0.2212732919,10.0000000000
400137271,2432,424,0.1743421053,0.82566,10.0000000000,11,0.1632323332,,,,,,,11,0.1743421053,10.0000000000
400137271,2265,258,0.1139072848,0.88609,10.0000000000,12,0.1197391884,,,,,,,12,0.1139072848,10.0000000000
400137271,2217,210,0.0947225981,0.90528,10.0000000000,13,0.0843388627,,,,,,,13,0.0947225981,10.0000000000
400137271,2115,102,0.0482269504,0.95177,10.0000000000,14,0.0568191434,,,,,,,14,0.0482269504,10.0000000000
400137271,2099,86,0.0409718914,0.95903,10.0000000000,15,0.0364969455,,,,,,,15,0.0409718914,10.0000000000
400137271,2077,68,0.0327395282,0.96726,10.0000000000,16,0.0223018720,,,,,,,16,0.0327395282,10.0000000000
400137271,2030,20,0.0098522167,0.99015,10.0000000000,17,0.0129488752,,,,,,,17,0.0098522167,10.0000000000
400137271,2019,11,0.0054482417,0.99455,10.0000000000,18,0.0071424382,,,,,,,18,0.0054482417,10.0000000000
400137271,2015,0,0.0000000000,1.00000,10.0000000000,19,0.0037450995,,,,,,,19,0.0000000000,10.0000000000
400137271,2015,0,0.0000000000,1.00000,10.0000000000,20,0.0018690499,,,,,,,20,0.0000000000,10.0000000000
400137271,24285,22285,0.9176446366,0.08236,11.0000000000,1,0.9166666667,,,,,,,1,0.9176446366,11.0000000000
400137271,12270,10269,0.8369193154,0.16308,11.0000000000,2,0.8344827586,,,,,,,2,0.8369193154,11.0000000000
400137271,8254,6252,0.7574509329,0.24255,11.0000000000,3,0.7536806342,,,,,,,3,0.7574509329,11.0000000000
400137271,6128,4125,0.6731396867,0.32686,11.0000000000,4,0.6745450357,,,,,,,4,0.6731396867,11.0000000000
400137271,5006,3003,0.5998801438,0.40012,11.0000000000,5,0.5974233611,,,,,,,5,0.5998801438,11.0000000000
400137271,4339,2334,0.5379119613,0.46209,11.0000000000,6,0.5227359438,,,,,,,6,0.5379119613,11.0000000000
400137271,3811,1805,0.4736289688,0.52637,11.0000000000,7,0.4509844993,,,,,,,7,0.4736289688,11.0000000000
400137271,3406,1402,0.4116265414,0.58837,11.0000000000,8,0.3827555555,,,,,,,8,0.4116265414,11.0000000000
400137271,2894,888,0.3068417415,0.69316,11.0000000000,9,0.3187140012,,,,,,,9,0.3068417415,11.0000000000
400137271,2717,710,0.2613176297,0.73868,11.0000000000,10,0.2595803279,,,,,,,10,0.2613176297,11.0000000000
400137271,2524,516,0.2044374010,0.79556,11.0000000000,11,0.2060847745,,,,,,,11,0.2044374010,11.0000000000
400137271,2327,317,0.1362269016,0.86377,11.0000000000,12,0.1588941783,,,,,,,12,0.1362269016,11.0000000000
400137271,2229,222,0.0995962315,0.90040,11.0000000000,13,0.1185147411,,,,,,,13,0.0995962315,11.0000000000
400137271,2164,152,0.0702402957,0.92976,11.0000000000,14,0.0851862868,,,,,,,14,0.0702402957,11.0000000000
400137271,2126,117,0.0550329257,0.94497,11.0000000000,15,0.0587969043,,,,,,,15,0.0550329257,11.0000000000
400137271,2083,68,0.0326452232,0.96735,11.0000000000,16,0.0388523482,,,,,,,16,0.0326452232,11.0000000000
400137271,2070,57,0.0275362319,0.97246,11.0000000000,17,0.0245232463,,,,,,,17,0.0275362319,11.0000000000
400137271,2041,28,0.0137187653,0.98628,11.0000000000,18,0.0147651514,,,,,,,18,0.0137187653,11.0000000000
400137271,2018,2,0.0009910803,0.99901,11.0000000000,19,0.0084757924,,,,,,,19,0.0009910803,11.0000000000
400137271,2021,6,0.0029688273,0.99703,11.0000000000,20,0.0046400553,,,,,,,20,0.0029688273,11.0000000000
400137271,25985,23985,0.9230325188,0.07697,12.0000000000,1,0.9230769231,,,,,,,1,0.9230325188,12.0000000000
400137271,13394,11393,0.8506047484,0.14940,12.0000000000,2,0.8470588235,,,,,,,2,0.8506047484,12.0000000000
400137271,8785,6783,0.7721115538,0.22789,12.0000000000,3,0.7721179625,,,,,,,3,0.7721115538,12.0000000000
400137271,6582,4579,0.6956852021,0.30431,12.0000000000,4,0.6984640259,,,,,,,4,0.6956852021,12.0000000000
400137271,5495,3491,0.6353048226,0.36470,12.0000000000,5,0.6263517187,,,,,,,5,0.6353048226,12.0000000000
400137271,4665,2660,0.5702036442,0.42980,12.0000000000,6,0.5560889270,,,,,,,6,0.5702036442,12.0000000000
400137271,3945,1939,0.4915082383,0.50849,12.0000000000,7,0.4880446401,,,,,,,7,0.4915082383,12.0000000000
400137271,3623,1616,0.4460391940,0.55396,12.0000000000,8,0.4226551150,,,,,,,8,0.4460391940,12.0000000000
400137271,3147,1139,0.3619319987,0.63807,12.0000000000,9,0.3604257634,,,,,,,9,0.3619319987,12.0000000000
400137271,2829,821,0.2902085543,0.70979,12.0000000000,10,0.3019250403,,,,,,,10,0.2902085543,12.0000000000
