Seed,arrival rate,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(3,5,1.00,0.50)","(3,5,1.00,2.00)","(3,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)"
400137271,1.6671111111,2.1158827848,2.2016887915,2.2820497636,2.1001562582,1.9856661492,2.2188260855,2.1474427074,2.1242855753,2.2155771693,2.2198893004,2.2747445674,2.3093719685,2.0495339949,2.2266898262,2.2724181436,2.2855734915,2.2017877771,2.1732268557
400137271,1.6974040404,1.9925385883,1.9383921489,2.1626016208,2.1505045971,2.1081988254,2.3981332330,2.0734097387,2.0352113781,2.3786744936,2.1972250528,2.2240149604,2.3755317414,2.2237900860,2.3740317133,2.2205199574,2.2540519848,2.3253499878,2.3730587160
400137271,1.7276969697,2.1464072142,2.1247038906,2.3031475376,2.1757855003,2.1588150021,2.2697934253,1.9122443341,1.9877968041,2.3384376237,2.2053260460,2.2951289535,2.2881867096,2.2714048523,2.2316630010,2.4427640163,2.2230947690,2.2269876764,2.2902339296
400137271,1.7579898990,2.1001562582,1.9856661492,2.2188260855,2.1474427074,2.1242855753,2.2155771693,2.2016887915,2.2820497636,2.2521021582,2.0495339949,2.2266898262,2.2724181436,2.2855734915,2.2017877771,2.1732268557,2.2747445674,2.3093719685,2.4414881730
400137271,1.7882828283,2.1505045971,2.1081988254,2.3981332330,2.0734097387,2.0352113781,2.3786744936,1.9383921489,2.1626016208,2.1583422671,2.2237900860,2.3740317133,2.2205199574,2.2540519848,2.3253499878,2.3730587160,2.2240149604,2.3755317414,2.4016232054
400137271,1.8185757576,2.1757855003,2.1588150021,2.2697934253,1.9122443341,1.9877968041,2.3384376237,2.1247038906,2.3031475376,2.3070481391,2.2714048523,2.2316630010,2.4427640163,2.2230947690,2.2269876764,2.2902339296,2.2951289535,2.2881867096,2.3446303705
400137271,1.8488686869,2.1474427074,2.1242855753,2.2155771693,2.2016887915,2.2820497636,2.2521021582,1.9856661492,2.2188260855,2.2790957292,2.2855734915,2.2017877771,2.1732268557,2.2747445674,2.3093719685,2.4414881730,2.2266898262,2.2724181436,2.2679848610
400137271,1.8791616162,2.0734097387,2.0352113781,2.3786744936,1.9383921489,2.1626016208,2.1583422671,2.1081988254,2.3981332330,2.3743689285,2.2540519848,2.3253499878,2.3730587160,2.2240149604,2.3755317414,2.4016232054,2.3740317133,2.2205199574,2.3403344823
400137271,1.9094545455,1.9122443341,1.9877968041,2.3384376237,2.1247038906,2.3031475376,2.3070481391,2.1588150021,2.2697934253,2.3487155073,2.2230947690,2.2269876764,2.2902339296,2.2951289535,2.2881867096,2.3446303705,2.2316630010,2.4427640163,2.4330486338
400137271,1.9397474747,2.2016887915,2.2820497636,2.2521021582,1.9856661492,2.2188260855,2.2790957292,2.1242855753,2.2155771693,2.3387283208,2.2747445674,2.3093719685,2.4414881730,2.2266898262,2.2724181436,2.2679848610,2.2017877771,2.1732268557,2.5095560952
400137271,1.9700404040,1.9383921489,2.1626016208,2.1583422671,2.1081988254,2.3981332330,2.3743689285,2.0352113781,2.3786744936,2.4083799690,2.2240149604,2.3755317414,2.4016232054,2.3740317133,2.2205199574,2.3403344823,2.3253499878,2.3730587160,2.3429404864
400137271,2.0003333333,2.1247038906,2.3031475376,2.3070481391,2.1588150021,2.2697934253,2.3487155073,1.9877968041,2.3384376237,2.1484681522,2.2951289535,2.2881867096,2.3446303705,2.2316630010,2.4427640163,2.4330486338,2.2269876764,2.2902339296,2.3748182770
400137271,2.0306262626,1.9856661492,2.2188260855,2.2790957292,2.1242855753,2.2155771693,2.3387283208,2.2820497636,2.2521021582,2.3608960381,2.2266898262,2.2724181436,2.2679848610,2.2017877771,2.1732268557,2.5095560952,2.3093719685,2.4414881730,2.4864973994
400137271,2.0609191919,2.1081988254,2.3981332330,2.3743689285,2.0352113781,2.3786744936,2.4083799690,2.1626016208,2.1583422671,2.3616126317,2.3740317133,2.2205199574,2.3403344823,2.3253499878,2.3730587160,2.3429404864,2.3755317414,2.4016232054,2.4468541412
400137271,2.0912121212,2.1588150021,2.2697934253,2.3487155073,1.9877968041,2.3384376237,2.1484681522,2.3031475376,2.3070481391,2.3959667972,2.2316630010,2.4427640163,2.4330486338,2.2269876764,2.2902339296,2.3748182770,2.2881867096,2.3446303705,2.3307758315
400137271,2.1215050505,2.1242855753,2.2155771693,2.3387283208,2.2820497636,2.2521021582,2.3608960381,2.2188260855,2.2790957292,2.4388376363,2.2017877771,2.1732268557,2.5095560952,2.3093719685,2.4414881730,2.4864973994,2.2724181436,2.2679848610,2.4005782521
400137271,2.1517979798,2.0352113781,2.3786744936,2.4083799690,2.1626016208,2.1583422671,2.3616126317,2.3981332330,2.3743689285,2.5592002277,2.3253499878,2.3730587160,2.3429404864,2.3755317414,2.4016232054,2.4468541412,2.2205199574,2.3403344823,2.3219050219
400137271,2.1820909091,1.9877968041,2.3384376237,2.1484681522,2.3031475376,2.3070481391,2.3959667972,2.2697934253,2.3487155073,2.2273681471,2.2269876764,2.2902339296,2.3748182770,2.2881867096,2.3446303705,2.3307758315,2.4427640163,2.4330486338,2.4420703904
400137271,2.2123838384,2.2820497636,2.2521021582,2.3608960381,2.2188260855,2.2790957292,2.4388376363,2.2155771693,2.3387283208,2.4356869808,2.3093719685,2.4414881730,2.4864973994,2.2724181436,2.2679848610,2.4005782521,2.1732268557,2.5095560952,2.5330123646
400137271,2.2426767677,2.1626016208,2.1583422671,2.3616126317,2.3981332330,2.3743689285,2.5592002277,2.3786744936,2.4083799690,2.4829303867,2.3755317414,2.4016232054,2.4468541412,2.2205199574,2.3403344823,2.3219050219,2.3730587160,2.3429404864,2.4687775136
400137271,2.2729696970,2.3031475376,2.3070481391,2.3959667972,2.2697934253,2.3487155073,2.2273681471,2.3384376237,2.1484681522,2.5529957745,2.2881867096,2.3446303705,2.3307758315,2.4427640163,2.4330486338,2.4420703904,2.2902339296,2.3748182770,2.5539744443
400137271,2.3032626263,2.2188260855,2.2790957292,2.4388376363,2.2155771693,2.3387283208,2.4356869808,2.2521021582,2.3608960381,1.3480976581,2.2724181436,2.2679848610,2.4005782521,2.1732268557,2.5095560952,2.5330123646,2.4414881730,2.4864973994,1.4689411248
400137271,2.3335555556,2.3981332330,2.3743689285,2.5592002277,2.3786744936,2.4083799690,2.4829303867,2.1583422671,2.3616126317,1.4765966154,2.2205199574,2.3403344823,2.3219050219,2.3730587160,2.3429404864,2.4687775136,2.4016232054,2.4468541412,1.5653453099
400137271,2.3638484848,2.2697934253,2.3487155073,2.2273681471,2.3384376237,2.1484681522,2.5529957745,2.3070481391,2.3959667972,1.5644302994,2.4427640163,2.4330486338,2.4420703904,2.2902339296,2.3748182770,2.5539744443,2.3446303705,2.3307758315,1.4956198363
400137271,2.3941414141,2.2155771693,2.3387283208,2.4356869808,2.2521021582,2.3608960381,1.3480976581,2.2790957292,2.4388376363,1.0309841637,2.1732268557,2.5095560952,2.5330123646,2.4414881730,2.4864973994,1.4689411248,2.2679848610,2.4005782521,1.0592470704
400137271,2.4244343434,2.3786744936,2.4083799690,2.4829303867,2.1583422671,2.3616126317,1.4765966154,2.3743689285,2.5592002277,1.1289522910,2.3730587160,2.3429404864,2.4687775136,2.4016232054,2.4468541412,1.5653453099,2.3403344823,2.3219050219,1.1478568855
400137271,2.4547272727,2.3384376237,2.1484681522,2.5529957745,2.3070481391,2.3959667972,1.5644302994,2.3487155073,2.2273681471,1.2069933515,2.2902339296,2.3748182770,2.5539744443,2.3446303705,2.3307758315,1.4956198363,2.4330486338,2.4420703904,1.0172642647
400137271,2.4850202020,2.2521021582,2.3608960381,1.3480976581,2.2790957292,2.4388376363,1.0309841637,2.3387283208,2.4356869808,0.6931854931,2.4414881730,2.4864973994,1.4689411248,2.2679848610,2.4005782521,1.0592470704,2.5095560952,2.5330123646,0.8708989331
